N,P,K,Soil_pH,Soil_Moisture,Soil_Type,Organic_Carbon,Electrical_Conductivity,Temperature,Humidity,Rainfall,Sunlight_Hours,Wind_Speed,Region,Altitude,Season,Irrigation_Type,Fertilizer_Used,Soil_pH_Bin,Altitude_Bin,Recommended_Crop
152,44,41,6.4,19.03,3,1.27,2.59,16.04,66.0,2572.15,10.31,7.42,0,1222,2,3,326.32,2,1,Wheat
158,25,68,6.84,59.62,1,0.25,2.25,14.16,33.78,1717.77,6.5,2.86,2,547,0,0,297.86,2,0,Wheat
71,17,17,8.22,39.76,3,0.76,1.64,11.67,51.04,491.57,8.46,5.84,3,1666,2,3,348.9,1,1,Wheat
50,62,99,6.82,14.94,0,0.39,2.67,35.02,49.08,457.36,6.06,3.87,2,2356,0,0,95.46,2,2,Millet
135,55,112,6.25,20.69,0,0.85,2.28,36.41,73.4,2074.64,6.93,8.85,1,2258,0,3,223.08,2,2,Rice
106,53,58,7.58,45.5,0,1.08,2.75,35.41,35.16,1043.65,7.44,5.17,3,2480,1,1,319.5,1,2,Sugarcane
85,39,86,4.71,18.45,0,0.73,0.3,20.44,81.89,273.59,5.21,19.85,1,1617,2,1,338.5,0,1,Cotton
114,18,55,4.72,10.7,0,0.4,2.37,29.15,78.16,2998.28,11.19,15.76,3,1789,1,3,337.49,0,2,Rice
115,76,10,6.18,10.48,2,1.28,0.71,27.47,49.7,2479.7,8.64,9.67,4,1128,0,2,221.31,2,1,Rice
85,87,108,5.33,43.32,3,0.52,1.43,23.37,33.25,2272.69,5.28,14.65,2,969,0,3,123.66,0,1,Rice
128,16,29,6.22,37.6,1,1.31,0.82,14.8,49.67,1088.2,6.65,7.1,2,948,0,1,231.24,2,1,Wheat
142,41,61,8.2,56.67,1,0.9,1.8,11.45,63.69,2901.3,10.52,11.78,3,2337,1,2,262.95,1,2,Wheat
112,27,27,5.32,33.34,3,0.72,1.64,30.12,44.24,2499.58,4.76,9.71,0,923,0,0,63.69,0,1,Rice
32,24,30,4.7,58.49,3,1.07,1.46,33.5,57.89,2036.47,4.99,13.0,3,2291,0,3,133.49,0,2,Rice
51,18,37,6.37,54.39,1,1.06,1.86,38.49,51.72,2398.05,10.71,9.79,3,1221,1,0,122.88,2,1,Rice
139,47,43,7.62,45.62,2,1.33,1.2,20.68,49.2,2434.75,6.55,3.62,1,903,0,2,304.36,1,1,Rice
127,12,48,7.55,42.42,1,0.9,0.32,27.26,66.48,2151.39,9.57,14.73,2,2169,2,1,277.72,1,2,Rice
77,43,46,6.21,28.37,2,1.06,1.3,28.17,67.22,732.98,9.52,11.93,3,794,2,0,167.25,2,0,Millet
57,58,53,8.47,22.68,3,0.97,0.93,33.52,80.75,2147.76,10.78,18.69,0,1495,2,2,285.0,1,1,Rice
152,23,75,5.09,19.22,0,0.71,0.93,36.05,80.44,2308.94,4.47,10.18,2,2255,2,3,291.13,0,2,Rice
41,37,86,6.58,52.57,1,0.85,0.84,19.0,59.88,2809.12,11.11,7.29,4,1387,0,1,131.37,2,1,Wheat
74,52,111,7.07,24.12,2,1.46,2.11,23.8,58.55,330.08,6.53,14.49,0,183,0,3,59.51,1,0,Cotton
33,35,112,5.44,14.56,0,0.52,1.67,34.57,70.75,2356.94,4.46,13.44,0,299,2,2,155.98,0,0,Rice
114,82,64,6.63,25.74,0,0.54,0.12,16.75,79.93,970.0,10.02,19.75,1,2322,1,2,120.36,2,2,Wheat
97,46,13,6.34,48.75,1,1.43,2.0,22.76,82.07,2038.46,9.89,19.39,3,998,2,0,337.54,2,1,Rice
98,56,49,5.36,36.52,1,1.26,2.31,11.34,30.08,2309.42,5.76,5.51,4,1334,1,0,205.03,0,1,Potato
124,80,111,7.2,16.32,1,0.69,0.86,39.96,87.17,2192.57,8.02,13.51,1,1942,0,2,261.31,1,2,Rice
149,35,102,6.9,51.45,3,0.45,1.27,22.96,74.92,1874.27,8.63,2.9,3,860,1,0,324.1,2,1,Rice
144,35,46,8.15,54.77,1,0.44,2.85,12.61,52.98,1574.01,9.21,3.53,3,2011,0,0,197.87,1,2,Wheat
143,74,36,5.64,22.39,3,1.49,1.59,19.21,38.12,1866.95,4.94,2.69,1,1826,2,3,330.25,0,2,Sugarcane
103,74,84,6.38,13.51,3,1.45,1.14,39.27,70.98,1843.21,6.92,10.91,4,927,0,1,325.13,2,1,Rice
88,20,99,5.32,28.4,0,0.89,0.38,32.09,33.78,1548.25,8.62,9.3,1,781,0,1,230.91,0,0,Rice
68,85,78,4.93,48.43,2,0.3,0.82,14.73,45.63,1479.17,5.24,5.92,3,965,1,0,265.05,0,1,Wheat
74,50,99,5.26,15.62,2,1.1,0.27,11.94,76.87,750.2,8.24,14.09,1,1893,1,1,132.54,0,2,Wheat
128,54,55,8.03,24.87,2,1.07,1.49,19.06,37.09,572.37,9.0,15.53,3,2334,2,1,306.34,1,2,Wheat
28,82,94,7.75,35.3,2,1.32,1.92,17.63,46.28,538.49,11.6,3.75,4,1975,2,1,212.91,1,2,Wheat
44,85,61,7.04,57.15,0,0.21,0.42,31.56,77.77,2090.36,6.89,7.01,1,2107,0,2,230.98,1,2,Rice
152,10,79,6.16,10.15,2,0.73,2.49,36.89,31.22,2954.15,4.81,5.99,0,297,2,1,243.11,2,0,Rice
154,43,21,5.86,58.1,3,0.89,1.7,28.83,75.26,2378.98,10.98,10.84,1,72,2,0,223.19,0,0,Rice
132,55,53,6.38,11.47,0,0.54,0.33,26.88,80.56,2041.91,9.63,19.69,4,1025,1,3,235.33,2,1,Rice
53,86,30,7.83,38.31,1,0.55,2.17,33.61,69.74,384.26,5.76,17.65,4,771,1,0,306.03,1,0,Millet
136,58,119,8.1,17.0,3,0.9,1.92,10.16,51.26,200.36,10.05,3.5,3,2108,1,2,266.09,1,2,Wheat
84,31,64,6.2,32.25,0,0.62,1.47,11.12,57.8,1655.8,6.99,1.73,1,2314,0,1,176.56,2,2,Wheat
66,25,75,7.96,16.67,3,0.66,0.11,38.91,37.55,2351.42,11.76,18.43,3,2061,2,3,123.51,1,2,Rice
73,11,30,6.03,35.05,3,0.96,2.47,15.45,50.04,2944.78,8.69,6.86,0,1069,1,0,53.02,2,1,Wheat
153,15,37,5.93,45.96,1,0.28,2.85,34.11,41.2,1217.86,9.7,10.88,1,1470,1,1,346.6,0,1,Sugarcane
96,71,104,5.39,53.53,3,1.39,0.97,37.31,61.66,1769.31,11.97,12.78,4,2345,0,1,68.81,0,2,Rice
81,21,103,4.59,16.84,0,1.13,2.92,34.4,62.59,925.15,9.03,3.0,2,2196,1,2,105.55,0,2,Potato
142,36,37,5.62,40.13,3,0.29,1.79,22.4,58.77,2157.1,4.84,13.26,0,907,2,1,60.45,0,1,Rice
29,47,86,5.08,58.72,2,1.25,1.43,24.46,78.72,807.25,8.13,2.57,1,250,1,1,140.85,0,0,Potato
117,56,93,6.63,16.71,1,1.05,1.04,29.5,73.67,1227.51,6.07,13.18,0,691,1,2,293.19,2,0,Sugarcane
99,79,45,7.91,31.77,1,1.07,1.95,30.75,51.3,1509.91,10.25,2.97,0,1402,1,0,168.36,1,1,Rice
63,88,43,6.42,41.14,1,1.36,0.5,22.51,33.23,1404.69,8.15,1.33,2,1162,1,2,257.57,2,1,Barley
88,59,70,5.07,30.58,3,0.67,2.65,20.29,68.02,1631.0,5.14,14.01,0,764,0,3,219.6,0,0,Rice
31,81,70,6.65,30.11,0,0.8,0.55,10.55,76.61,2305.6,6.95,5.73,2,1331,0,0,174.77,2,1,Wheat
158,85,75,4.57,54.86,2,1.37,0.51,23.17,54.43,291.44,4.37,8.4,1,2289,2,0,274.94,0,2,Cotton
68,45,37,5.74,56.88,3,0.92,2.9,26.48,70.52,2511.7,11.66,5.5,1,1946,0,1,320.01,0,2,Rice
86,10,27,6.42,12.17,0,0.6,0.29,19.89,34.3,725.55,10.7,18.69,1,637,2,0,230.5,2,0,Wheat
143,57,29,7.86,45.43,1,0.48,1.65,30.53,35.26,1769.81,6.18,4.91,1,1212,2,3,341.94,1,1,Rice
66,27,107,6.91,31.66,0,1.21,2.41,17.2,30.64,2760.76,6.52,10.08,1,1957,2,0,259.98,2,2,Wheat
38,22,21,5.37,28.95,2,0.99,2.42,31.59,40.34,1356.31,5.99,1.64,2,1883,2,3,264.38,0,2,Maize
65,50,80,6.65,51.25,3,1.04,0.55,32.78,65.78,288.64,9.41,1.8,2,1167,0,1,235.72,2,1,Millet
56,74,34,4.86,17.52,0,1.02,0.21,10.06,36.66,1461.56,11.12,10.54,3,1232,0,2,202.94,0,1,Pulses
48,31,62,6.56,51.42,2,1.39,0.23,19.74,56.66,204.35,4.6,7.64,0,2474,2,2,168.13,2,2,Wheat
155,12,59,4.93,45.45,2,0.86,1.44,20.77,84.85,1265.35,9.68,14.89,4,2457,2,1,303.68,0,2,Sugarcane
66,16,112,7.46,40.28,3,1.48,0.74,16.69,88.86,1198.65,10.89,16.74,0,688,0,1,135.69,1,0,Wheat
64,64,110,5.37,12.06,0,0.55,2.74,24.98,82.57,2948.12,7.43,8.45,0,1166,2,2,133.97,0,1,Rice
45,23,52,6.53,51.13,1,0.79,0.24,38.72,89.08,1247.3,7.81,2.19,1,863,2,0,333.97,2,1,Tomato
53,79,43,6.2,34.28,3,1.24,2.11,12.99,73.87,2684.11,5.18,19.64,0,1804,1,2,147.25,2,2,Wheat
43,71,104,7.76,38.93,1,0.55,1.51,23.09,59.44,524.94,8.08,7.44,4,1826,1,0,303.61,1,2,Barley
147,27,106,5.59,34.46,1,0.77,1.01,36.83,73.89,2399.63,8.11,16.55,3,1823,2,2,145.14,0,2,Rice
136,46,78,6.41,26.89,1,0.39,1.0,11.99,73.02,1631.89,6.28,17.0,0,1253,1,2,55.72,2,1,Wheat
100,48,94,7.39,51.62,3,1.33,0.25,13.84,55.89,2348.75,5.74,11.61,0,2459,1,2,246.41,1,2,Wheat
36,87,69,5.94,49.15,1,0.34,2.19,33.16,48.46,727.2,7.68,4.45,2,2144,2,3,133.9,0,2,Millet
53,24,77,6.18,12.54,0,0.76,1.73,37.03,80.99,1321.1,9.39,11.5,3,134,2,1,140.24,2,0,Pulses
30,20,60,6.69,25.22,0,0.54,2.45,35.97,67.61,956.93,6.01,14.39,2,1215,2,1,222.6,2,1,Potato
74,35,60,5.76,55.34,1,1.08,2.39,29.72,75.09,1157.18,6.38,7.01,4,1181,0,2,319.78,0,1,Barley
44,32,85,8.05,48.58,0,1.48,0.41,26.22,43.86,471.5,9.61,6.71,2,1233,1,3,293.9,1,1,Millet
56,33,90,4.64,23.66,2,1.38,0.91,26.76,40.56,2361.71,11.44,14.77,1,523,0,1,208.88,0,0,Rice
124,72,110,5.97,19.27,0,0.28,1.79,39.78,44.82,1918.54,4.2,10.93,2,713,2,1,332.33,0,0,Rice
51,54,64,6.24,13.2,3,0.74,1.07,19.73,52.19,1270.88,8.12,6.57,2,1889,1,1,267.19,2,2,Wheat
25,30,54,6.78,54.24,3,0.47,0.74,26.45,79.57,1809.69,4.23,7.27,1,263,0,0,228.21,2,0,Rice
118,34,89,4.94,43.71,0,1.33,2.09,25.51,70.27,1306.19,11.74,2.07,1,1026,2,3,287.31,0,1,Sugarcane
80,57,57,6.84,51.2,2,1.27,2.37,37.71,87.38,582.44,6.75,16.14,1,3,2,0,245.88,2,0,Millet
125,38,56,6.8,32.0,3,1.02,0.59,30.92,58.47,2227.06,7.19,1.12,1,1071,1,3,205.27,2,1,Rice
33,70,20,6.46,47.18,1,0.52,2.44,23.79,49.73,2031.85,10.22,9.58,0,151,1,2,97.55,2,0,Rice
31,56,44,6.17,23.0,2,0.49,2.16,15.29,58.43,1222.47,10.68,14.09,0,53,1,1,277.96,2,0,Wheat
111,36,12,6.23,27.48,3,1.11,2.11,37.32,50.38,687.73,9.29,17.64,4,280,2,3,335.97,2,0,Millet
132,62,83,8.18,38.94,1,1.47,2.95,28.04,49.2,1313.12,9.51,12.29,3,75,0,1,340.87,1,0,Sugarcane
23,69,80,7.71,36.96,1,1.15,2.35,32.86,49.25,1826.78,11.9,17.03,3,949,2,3,347.07,1,1,Rice
111,73,89,6.97,42.77,2,0.78,1.62,18.03,57.21,1998.38,5.82,4.93,4,378,1,0,234.31,2,0,Wheat
81,63,21,6.34,23.32,2,1.27,2.13,13.7,40.1,2964.34,4.6,19.1,2,2437,1,2,309.74,2,2,Wheat
114,65,42,7.27,40.97,0,1.45,2.23,17.73,87.32,2824.47,5.06,16.39,4,1312,1,3,222.84,1,1,Wheat
103,15,71,5.43,48.38,3,1.03,1.34,14.99,67.43,2671.15,11.32,13.99,4,1787,2,2,51.49,0,2,Sugarcane
78,12,11,6.37,11.24,2,1.48,1.89,20.42,43.6,252.78,6.71,1.22,4,1027,1,1,325.47,2,1,Cotton
125,19,100,4.88,20.99,3,0.55,1.7,18.89,62.45,2817.25,4.44,11.61,0,1469,1,1,125.94,0,1,Sugarcane
98,71,83,8.04,16.82,3,0.93,2.08,21.56,71.62,242.6,4.53,15.4,2,377,1,1,245.34,1,0,Barley
154,36,82,6.63,29.54,1,0.48,0.6,24.28,50.03,1753.75,7.92,16.78,3,1765,1,0,140.57,2,2,Rice
33,80,115,4.71,38.38,3,1.15,0.26,31.51,37.33,2860.71,10.23,10.25,0,1061,0,2,219.24,0,1,Rice
35,38,93,6.43,42.65,0,0.28,1.69,20.99,37.96,299.74,7.99,18.76,3,289,1,3,276.42,2,0,Potato
78,68,85,5.8,59.64,1,1.28,0.51,35.92,39.46,1146.91,10.31,11.74,3,1127,2,3,272.85,0,1,Cotton
134,57,49,7.62,48.56,3,1.0,0.68,17.31,87.63,2622.26,4.22,10.83,1,959,2,1,251.09,1,1,Wheat
23,52,38,6.32,59.42,2,0.44,0.73,36.84,30.34,2108.58,4.25,18.34,1,1870,0,2,229.95,2,2,Rice
122,11,13,8.03,21.22,1,0.89,2.62,37.78,61.52,1900.8,9.86,6.85,0,1412,1,1,325.36,1,1,Rice
145,57,34,8.24,53.53,0,0.25,0.9,36.19,49.84,2681.99,10.0,9.13,0,1343,0,1,314.66,1,1,Rice
117,64,42,6.56,35.06,3,0.9,1.58,19.25,52.19,2946.6,8.13,16.46,1,293,2,0,171.0,2,0,Wheat
62,33,95,6.61,24.36,2,0.25,2.81,37.85,39.61,1485.5,8.49,7.34,2,824,0,3,334.09,2,0,Tomato
130,38,30,8.04,58.24,0,1.29,1.81,11.18,82.18,1252.87,7.93,4.82,4,1866,2,2,177.56,1,2,Wheat
28,42,12,6.49,18.92,3,0.29,0.1,39.75,46.15,1902.63,5.48,17.55,3,1689,0,2,349.4,2,2,Rice
135,57,90,7.12,36.64,0,1.24,1.69,26.27,51.36,1033.78,9.88,19.98,3,1386,2,3,145.03,1,1,Sugarcane
20,77,15,5.59,14.52,3,0.86,2.94,19.73,80.34,2793.29,9.95,8.39,4,1930,0,2,329.01,0,2,Tomato
80,86,77,5.82,26.24,2,0.29,1.64,32.23,66.96,223.79,5.01,12.8,4,1977,0,2,320.06,0,2,Millet
106,27,32,7.0,46.41,0,0.68,2.44,11.33,71.8,1392.04,9.52,3.39,3,1348,2,2,66.57,2,1,Wheat
56,20,29,8.1,18.63,1,0.24,1.53,39.33,86.34,539.86,7.56,13.51,0,1962,0,2,172.63,1,2,Millet
102,82,50,4.73,51.65,1,1.14,1.0,36.95,71.27,592.53,5.32,13.56,0,434,1,1,209.02,0,0,Millet
87,18,19,6.57,54.16,2,1.23,2.31,34.96,39.31,2599.97,5.84,9.94,1,1928,0,0,331.31,2,2,Rice
122,41,79,8.16,13.84,2,0.78,2.19,26.34,56.25,1217.52,11.37,5.42,0,248,0,2,289.39,1,0,Sugarcane
109,64,22,5.27,10.97,0,1.23,1.59,39.64,43.11,1448.24,6.34,17.22,3,2129,1,2,141.44,0,2,Sugarcane
62,80,46,6.05,31.32,3,0.58,0.11,14.97,41.97,1606.57,5.3,8.32,3,2358,0,0,135.08,2,2,Wheat
88,81,90,4.97,42.46,0,1.11,1.97,28.71,43.75,428.06,6.61,11.38,2,1318,2,0,62.34,0,1,Millet
73,66,116,8.49,37.77,0,0.27,0.98,15.35,39.83,1471.69,7.64,13.2,3,661,0,2,173.42,1,0,Wheat
91,86,15,4.73,19.8,3,0.75,2.98,29.58,73.59,2906.7,10.17,8.03,1,397,2,1,218.15,0,0,Rice
108,48,76,6.33,50.58,3,0.32,2.42,25.24,81.62,649.85,6.01,12.53,3,751,0,3,219.0,2,0,Millet
75,14,31,5.04,50.21,0,0.77,1.94,20.98,50.36,2568.76,11.31,6.31,0,1469,0,2,328.9,0,1,Rice
54,82,13,4.66,14.72,2,0.79,2.14,10.35,43.59,1037.28,10.45,18.85,3,2107,0,0,328.35,0,2,Millet
141,47,10,7.63,45.17,1,0.34,2.93,25.45,87.34,2464.48,11.05,7.06,3,864,0,2,217.25,1,1,Rice
144,62,105,5.91,18.56,1,0.99,1.97,36.5,39.41,2456.18,4.28,8.5,0,523,1,0,206.53,0,0,Rice
48,22,22,4.96,33.43,2,0.63,1.18,39.77,47.78,2862.66,4.86,14.62,4,2035,2,2,304.04,0,2,Rice
49,41,54,4.69,22.61,0,0.76,2.36,16.93,72.31,2097.4,10.75,15.66,2,1844,1,0,91.54,0,2,Wheat
101,77,48,5.11,36.69,2,0.82,2.37,31.04,78.03,1020.7,11.17,8.77,4,642,2,1,237.73,0,0,Sugarcane
143,56,44,6.08,40.03,3,1.09,0.79,12.42,83.87,2815.4,9.1,2.56,4,1100,0,2,296.32,2,1,Wheat
87,75,46,7.32,12.78,3,0.78,2.63,15.34,37.11,1551.65,11.52,17.03,0,614,2,2,90.81,1,0,Wheat
96,86,85,8.25,29.19,0,1.02,2.44,17.2,55.78,2031.04,9.87,19.29,3,2267,1,1,314.98,1,2,Wheat
24,32,115,5.5,50.86,0,0.74,2.17,16.35,79.95,1956.9,10.92,15.69,2,1907,0,2,274.84,0,2,Barley
70,37,114,5.93,25.72,2,1.33,2.32,32.33,41.13,1297.69,7.14,18.62,4,298,1,1,327.75,0,0,Barley
69,39,53,4.9,23.49,1,1.42,2.01,24.16,55.03,356.04,8.98,17.91,4,973,2,3,284.62,0,1,Barley
43,34,116,6.0,47.96,2,0.67,1.11,37.94,67.48,2889.02,7.94,13.62,2,80,2,0,74.82,0,0,Rice
76,23,28,4.78,44.52,2,1.12,2.62,17.86,79.58,897.46,9.77,11.81,3,1330,0,2,332.93,0,1,Sugarcane
39,73,38,8.24,55.01,2,0.64,2.13,17.24,80.84,680.61,9.17,2.89,1,1273,2,2,127.75,1,1,Wheat
93,19,93,6.1,26.69,2,1.44,2.46,38.88,47.88,1464.68,7.44,17.55,2,998,2,2,267.45,2,1,Cotton
72,67,43,6.95,32.04,1,1.04,0.86,11.12,60.72,1832.88,5.78,9.74,1,1564,2,2,84.2,2,1,Wheat
87,37,70,7.02,23.04,3,1.36,2.34,23.42,38.25,676.1,8.85,2.13,3,1079,1,1,296.24,1,1,Potato
105,79,72,6.08,52.5,2,1.48,1.53,11.6,73.62,2204.91,7.88,10.9,4,1610,2,2,116.03,2,1,Wheat
67,60,81,7.15,54.39,1,1.4,1.03,24.48,58.45,2416.42,11.56,19.28,3,2238,2,0,341.56,1,2,Rice
112,25,113,7.51,12.95,1,1.2,1.38,35.87,82.04,1724.24,7.34,1.68,1,1808,0,1,223.06,1,2,Rice
66,23,23,6.16,56.21,1,0.66,1.88,13.96,85.37,2478.61,10.73,2.24,3,146,0,0,114.26,2,0,Wheat
108,43,69,7.24,29.93,0,0.26,2.47,35.5,51.59,2403.07,5.61,14.24,0,2464,1,2,327.99,1,2,Rice
110,52,61,8.47,50.51,0,0.22,2.32,21.05,42.88,1724.69,6.0,4.91,3,2310,1,3,279.51,1,2,Rice
136,66,11,6.26,11.5,3,0.79,2.72,23.79,46.96,2737.62,8.17,18.8,2,285,2,3,146.69,2,0,Rice
105,52,116,6.75,35.23,2,0.94,0.93,21.8,67.2,2812.12,10.57,16.98,3,1669,0,2,268.18,2,2,Rice
44,30,24,7.37,27.54,0,0.27,1.75,23.13,63.17,2311.04,9.17,3.55,0,758,2,0,57.22,1,0,Rice
60,80,100,7.48,11.25,0,0.47,2.73,14.23,57.0,1612.15,7.91,10.45,1,2348,2,0,128.35,1,2,Wheat
110,35,14,5.7,20.32,3,1.03,1.79,31.81,77.64,1826.59,6.15,10.63,1,1390,0,2,317.26,0,1,Rice
29,48,23,5.93,46.46,0,1.01,1.4,29.0,82.06,1391.73,9.77,1.83,4,487,1,2,180.79,0,0,Wheat
157,66,87,6.74,10.11,2,1.36,2.4,17.4,40.11,1560.57,8.64,4.76,3,719,2,0,339.54,2,0,Wheat
109,14,43,5.87,43.02,2,1.17,1.34,33.42,35.94,1675.18,8.04,10.52,1,726,2,3,92.35,0,0,Rice
27,29,108,7.31,57.35,2,0.21,1.83,15.08,85.14,1586.67,10.58,18.63,2,921,1,1,130.23,1,1,Wheat
138,15,22,5.07,31.04,1,0.95,0.86,33.56,37.38,1645.95,4.63,4.14,1,1944,2,2,300.14,0,2,Rice
50,46,100,6.72,22.08,3,0.49,0.73,23.12,43.86,1338.71,9.48,15.04,3,1454,0,1,301.15,2,1,Rice
129,71,106,6.51,47.78,0,0.48,1.71,38.89,44.82,2309.14,5.48,18.33,2,1234,1,3,83.91,2,1,Rice
110,14,19,6.9,15.93,1,1.07,2.75,11.57,36.81,403.23,6.44,3.75,4,1568,1,2,253.31,2,1,Wheat
34,49,43,6.82,45.13,0,1.21,0.23,26.63,51.62,621.39,4.9,10.34,2,493,2,2,252.13,2,0,Millet
52,57,60,6.04,44.48,2,0.47,0.46,29.05,85.65,2546.64,6.0,8.97,0,2016,1,3,134.8,2,2,Rice
136,72,57,5.51,16.49,3,1.01,0.7,21.54,37.19,1034.39,11.21,16.19,0,2441,1,3,215.43,0,2,Sugarcane
36,69,61,4.96,30.86,3,0.73,0.87,15.65,52.21,1731.77,10.33,11.29,3,2464,1,0,310.06,0,2,Wheat
45,16,70,6.24,38.1,3,0.95,2.54,33.58,48.83,2214.78,10.34,4.39,0,1664,2,0,145.25,2,1,Rice
72,68,18,6.96,18.64,0,1.46,0.57,20.78,33.24,903.82,8.28,11.89,1,1634,0,0,129.72,2,1,Maize
74,52,42,8.04,41.22,1,0.65,2.5,10.79,77.7,1325.02,9.51,10.88,1,1895,1,3,191.56,1,2,Wheat
120,10,16,6.5,46.34,3,0.62,0.61,27.3,80.8,570.66,5.49,5.8,4,112,0,1,160.37,2,0,Millet
92,89,81,8.08,45.7,0,0.73,2.91,26.0,78.73,324.42,10.23,4.05,3,137,2,2,105.87,1,0,Millet
105,61,54,6.91,29.23,3,1.42,2.46,30.66,86.08,1110.65,10.0,16.89,2,1945,0,3,253.04,2,2,Sugarcane
137,43,72,5.96,56.13,3,0.56,2.82,27.69,30.23,2326.59,7.64,18.57,2,2209,0,1,252.86,0,2,Rice
